date,day,day_of_week,month_name,quarter,year,start_of_year,start_of_monthj,start_of_quarter,start_of_week
00:00.0,1,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Monday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Tuesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Wednesday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Thursday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Friday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Saturday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Sunday,Jan,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Monday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Tuesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Wednesday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Thursday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Friday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Saturday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Sunday,Feb,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Thursday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Friday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Saturday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Sunday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Monday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Tuesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Wednesday,Mar,1,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Thursday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Friday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Saturday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Sunday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Monday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Tuesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Wednesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Thursday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Friday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Saturday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Sunday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Monday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Tuesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Wednesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Thursday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Friday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Saturday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Sunday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Monday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Tuesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Wednesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Thursday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Friday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Saturday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Sunday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Monday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Tuesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Wednesday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Thursday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Friday,Apr,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Saturday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Sunday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Monday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Tuesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Wednesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Thursday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Friday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Saturday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Sunday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Monday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Tuesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Wednesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Thursday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Friday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Saturday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Sunday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Monday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Tuesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Wednesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Thursday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Friday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Saturday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Sunday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Monday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Tuesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Wednesday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Thursday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Friday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Saturday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Sunday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Monday,May,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Tuesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Wednesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Thursday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Friday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Saturday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Sunday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Monday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Tuesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Wednesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Thursday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Friday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Saturday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Sunday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Monday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Tuesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Wednesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Thursday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Friday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Saturday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Sunday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Monday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Tuesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Wednesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Thursday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Friday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Saturday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Sunday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Monday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Tuesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Wednesday,Jun,2,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Thursday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Friday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Saturday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Sunday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Monday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Tuesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Wednesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Thursday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Friday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Saturday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Sunday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Monday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Tuesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Wednesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Thursday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Friday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Saturday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Sunday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Monday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Tuesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Wednesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Thursday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Friday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Saturday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Sunday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Monday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Tuesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Wednesday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Thursday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Friday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Saturday,Jul,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Sunday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Monday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Tuesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Wednesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Thursday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Friday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Saturday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Sunday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Monday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Tuesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Wednesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Thursday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Friday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Saturday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Sunday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Monday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Tuesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Wednesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Thursday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Friday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Saturday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Sunday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Monday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Tuesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Wednesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Thursday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Friday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Saturday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Sunday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Monday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Tuesday,Aug,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Wednesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Thursday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Friday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Saturday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Sunday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Monday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Tuesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Wednesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Thursday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Friday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Saturday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Sunday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Monday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Tuesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Wednesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Thursday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Friday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Saturday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Sunday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Monday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Tuesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Wednesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Thursday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Friday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Saturday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Sunday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Monday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Tuesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Wednesday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Thursday,Sep,3,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,1,Friday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,2,Saturday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,3,Sunday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,4,Monday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,5,Tuesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,6,Wednesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,7,Thursday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,8,Friday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,9,Saturday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,10,Sunday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,11,Monday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,12,Tuesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,13,Wednesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,14,Thursday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,15,Friday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,16,Saturday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,17,Sunday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,18,Monday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,19,Tuesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,20,Wednesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,21,Thursday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,22,Friday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,23,Saturday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,24,Sunday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,25,Monday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,26,Tuesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,27,Wednesday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,28,Thursday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,29,Friday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,30,Saturday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
00:00.0,31,Sunday,Oct,4,2010,00:00.0,00:00.0,00:00.0,00:00.0
